lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,delta,theta,poorSignalLevel,meditation,attention
8459,8718,16684,4461,7051,7500,246430,44212,0,30,63
53038,12700,17969,17315,10759,6813,929329,139526,0,29,60
12694,5922,23773,10824,10105,8531,33870,49305,0,11,57
6374,1590,2196,978,1504,1939,726044,19582,0,23,51
3988,3598,4725,5459,6120,3941,12222,7821,0,24,64
18736,14251,8467,8896,6406,4363,752181,304633,0,7,48
49010,56542,19929,14588,6910,8816,1330950,76649,0,16,24
49010,56542,19929,14588,6910,8816,1330950,76649,0,16,24
457,3061,4105,1977,2801,3270,480350,21995,0,20,56
34817,30359,19634,9988,6892,8469,578629,308783,0,37,51
52364,13432,7687,10610,4689,11617,242416,335713,0,50,27
67571,25269,29101,5298,7522,15440,989224,198567,0,51,11
10001,11485,32403,23792,8370,3041,3909,24036,0,50,48
9683,17063,10192,13688,7354,2634,54383,19597,0,54,97
9961,3167,7422,8752,6902,3200,113617,39877,0,47,93
45375,17002,2678,2193,2312,2971,108301,58803,0,50,44
45375,17002,2678,2193,2312,2971,108301,58803,0,50,44
70241,16410,11709,4351,2621,2303,1012520,89227,0,69,14
67296,32287,12092,5337,2919,3614,1241113,111172,0,64,13
6039,14139,2402,8137,3178,7094,677959,56866,0,57,35
121208,5437,2203,3047,1509,3007,1208646,518069,0,37,27
56251,9173,4807,2416,4179,4048,593247,230721,0,35,7
49213,6971,20202,3541,3704,4968,196005,594449,0,16,1
9278,8907,3506,1918,594,1049,292387,32772,0,27,1
28052,36598,8840,4316,3042,10417,103973,151448,0,53,13
152895,9128,4573,4788,1542,6149,215606,253751,0,53,4
23085,2769,2332,1253,322,4522,135930,70217,0,43,8
29255,2889,2737,2150,339,1163,197502,73751,0,37,13
29519,53948,9713,13127,14044,40407,2316655,92488,0,54,35
21745,5721,2586,1910,1506,1626,702447,62288,0,50,30
28062,52230,24124,8598,2662,4005,1930702,245220,0,35,23
58609,13609,4620,11034,3517,16406,2004244,308846,0,27,26
96116,48045,18347,15559,2592,16733,3039288,420047,0,29,30
297313,20672,7468,13782,8156,4875,544099,159122,0,67,20
268175,40444,12169,10441,2825,3585,1321886,316594,0,78,14
56071,11456,20544,3984,10472,27788,1025302,273168,0,51,13
2991,792,3967,2563,1784,533,112122,16537,0,44,60
16468,8415,4885,15522,3159,2257,203487,30466,0,57,83
16468,8415,4885,15522,3159,2257,203487,30466,0,57,83
31298,14605,13532,6655,1535,6044,1565995,341890,0,38,34
7365,7622,3571,7044,3133,1701,4116,26985,0,37,44
66355,17656,2684,3368,4286,3655,2046262,336864,0,56,50
73083,31753,4069,2329,1416,11091,1713130,219166,0,48,10
43841,14723,9047,4403,1350,3973,652619,135191,0,53,1
17339,13457,12825,11287,5650,7308,3089868,377009,0,37,3
52098,21120,3804,2440,1686,5455,991679,323908,0,24,1
28322,1944,3502,3044,286,1616,1462106,41411,0,56,10
2986,631,380,313,142,262,58118,12519,0,63,21
1323,774,1043,411,430,534,291841,14376,0,50,20
8269,3259,4030,1703,416,2752,646388,85136,0,38,30
12808,3896,1917,1517,635,870,603430,44245,0,44,26
191281,12161,12317,17629,3520,5574,957934,304644,0,51,13
2951,10499,6830,2014,1534,2699,1713118,58965,0,40,14
27603,18102,4722,7089,3131,1446,852166,65361,0,61,27
70240,29253,12851,8532,2712,2693,287195,796903,0,41,20
70240,29253,12851,8532,2712,2693,287195,796903,0,41,20
13917,12366,10278,4023,3891,3359,55398,11708,0,57,43
9998,12559,8628,9890,6684,1151,390109,165643,0,57,56
7595,5624,1205,2392,1033,1313,106665,19245,0,51,54
36428,23900,29723,22640,17649,23560,798311,232781,0,51,64
10684,23502,11481,25075,10802,3450,1675890,67960,0,41,77
10684,23502,11481,25075,10802,3450,1675890,67960,0,41,77
26847,50936,53792,13900,10023,9288,684078,173909,0,34,69
1142,3125,3511,1645,1752,3513,1498039,59580,0,26,40
71095,27491,7198,3851,1012,3258,639665,278149,0,11,3
23010,2571,5258,2225,1290,1117,159927,78173,0,20,8
23010,2571,5258,2225,1290,1117,159927,78173,0,20,8
23010,2571,5258,2225,1290,1117,159927,78173,0,20,8
126572,12042,10625,6458,1313,10771,899212,198696,0,50,20
6482,22637,4829,1624,1641,1814,239721,135546,0,48,7
12217,11531,6909,1285,651,2042,1043791,75910,0,41,7
44991,35144,6508,5610,2193,3586,801519,286828,0,43,10
75112,3303,2399,2403,1501,7432,714090,380447,0,23,1
1724,3625,560,432,191,143,160643,19183,0,29,1
5991,2323,2539,1642,630,1997,1163709,79385,0,54,3
4072,5779,1266,897,424,2101,620427,166433,0,44,1
8998,5237,1006,1523,782,767,838138,67595,0,47,16
932,3822,378,310,65,333,56392,28703,0,38,1
140667,155664,18654,21631,5016,5395,1788793,745677,0,47,11
8299,13152,19195,1793,4185,7864,1691093,96972,0,30,4
15261,8453,15454,2935,2802,6813,218090,311480,0,30,11
20957,128744,133633,23267,34688,49221,836287,1294943,0,34,24
94790,16644,29349,30484,34187,57462,140050,224751,0,43,41
4845,10015,5589,2138,331,1891,553891,118129,0,47,34
11844,7628,2049,500,872,2285,309479,59095,0,50,7
1045,6292,449,557,274,375,110742,27794,0,50,13
24201,1861,2269,1459,214,1103,556366,34564,0,48,20
24201,1861,2269,1459,214,1103,556366,34564,0,48,20
43397,29683,5528,10195,3292,5806,1777796,137465,0,38,3
36384,1387,4613,3174,399,1906,295796,41128,0,51,17
22785,7081,1376,744,409,2657,828459,118667,0,56,16
22785,7081,1376,744,409,2657,828459,118667,0,56,16
103288,36354,12111,13477,3361,24193,686512,596776,0,40,41
10166,10530,4846,7386,1790,4987,138478,27698,0,51,56
73418,20451,33751,7112,8084,20314,511306,1733955,0,43,23
25845,10463,17455,6754,5074,15803,658338,151104,0,23,3
20210,7046,4989,3475,1064,692,676508,55372,0,51,44
20210,7046,4989,3475,1064,692,676508,55372,0,51,44
352462,17898,13950,25579,2649,19837,2981105,980029,0,56,20
110778,8952,5500,4186,1548,12912,1577853,396277,0,48,1
18055,24097,44757,28478,3737,39481,716903,1419012,0,34,7
322760,23766,27416,14386,9849,54926,857970,1893318,0,29,3
126885,184051,30666,27102,14404,32578,2870590,248148,0,57,11
10874,2678,3010,1173,386,3510,1719822,41091,27,67,23
10121,3917,2535,720,228,1323,83655,10445,0,84,38
10121,3917,2535,720,228,1323,83655,10445,0,84,38
72663,31657,33247,9325,12207,25803,3560408,270217,0,60,16
72663,31657,33247,9325,12207,25803,3560408,270217,0,60,16
18212,4346,5080,3961,2818,2085,13357,63101,0,80,57
19933,3462,10461,9385,5279,1058,36316,22660,0,63,60
4733,11965,6828,6787,3064,3690,333252,130187,0,40,67
3302,3195,10458,17191,2791,1973,10236,9429,0,34,83
4079,9961,8187,7287,2482,3289,20883,19757,0,54,87
3905,2110,6476,4899,5712,1883,6683,11030,0,67,77
11279,6839,3781,4500,2698,800,18242,4585,0,81,80
29308,11736,10342,7505,4900,2206,16485,46746,0,90,74
20150,9511,3945,6204,6907,2251,14348,11586,0,80,69
20150,9511,3945,6204,6907,2251,14348,11586,0,80,69
2910,4895,5241,7090,3896,2326,27208,8524,0,84,91
11685,19442,8873,3659,2323,5514,326272,86514,0,75,67
725,2188,3646,1450,1243,658,85308,6488,0,57,57
22062,7087,2449,7023,4327,3267,49796,153202,0,54,63
20124,15573,77832,26032,10047,44943,807012,392845,0,40,54
54896,134190,62475,21915,17666,48639,111292,269527,0,51,61
3970,3516,5028,6455,3260,1799,12520,26788,0,61,61
3970,3516,5028,6455,3260,1799,12520,26788,0,61,61
5885,9536,6086,8058,4101,3391,82517,32722,0,54,66
45027,7088,16522,16125,9720,17481,448589,103734,0,48,69
2564,5559,2709,4379,905,4929,475715,38121,0,47,64
23028,32404,12967,11299,5936,22866,2027828,317771,0,41,50
349722,161282,102287,81533,27133,203429,3678610,1160825,0,34,14
128734,24548,91078,63227,22324,99652,1041782,1383005,0,40,35
9283,7087,2612,2278,924,3448,789631,34457,0,51,34
9283,7087,2612,2278,924,3448,789631,34457,0,51,34
68380,4449,4013,3676,2026,6653,763108,270798,0,41,10
14003,2118,1819,1023,634,1266,738365,76690,0,41,8
39074,22254,9256,15054,4940,9176,1494257,826546,0,27,4
25181,15044,6642,1939,1441,8607,3273402,314860,0,34,4
22360,9467,7421,2141,3279,7400,1804297,251238,0,26,1
12050,2529,1081,1121,413,1484,201191,49876,0,34,1
262782,90399,25054,15448,14401,21774,1655881,1215026,0,44,1
35598,38632,32582,10367,5436,21151,1746013,220223,0,38,17
35598,38632,32582,10367,5436,21151,1746013,220223,0,38,17
57517,9799,1227,4982,2057,7707,1590570,121439,0,56,29
7669,2616,3076,1047,464,5209,409447,32181,0,67,20
6653,4413,17398,7121,4038,20143,557949,53160,0,54,30
105219,20571,54603,23126,7110,45371,2371250,397561,0,38,43
47703,14277,7612,2959,755,2096,706971,84318,0,74,37
11207,6919,698,1158,473,1098,174870,41631,0,67,24
11207,6919,698,1158,473,1098,174870,41631,0,67,24
39040,7732,16843,6036,2899,7388,2225535,345860,0,47,23
36331,10075,4370,3210,1501,2699,740826,397778,0,21,13
11267,2457,2731,1397,251,854,289340,27852,0,47,3
18036,2749,13195,9894,5530,1745,8055,38919,0,54,41
40447,10049,10634,7026,4190,2307,15308,27736,0,80,74
5004,7492,14489,5427,2347,1952,42749,20570,0,84,74
5004,7492,14489,5427,2347,1952,42749,20570,0,84,74
9122,31983,10915,7102,4071,3414,1149050,99482,0,70,66
9614,3319,3407,3867,2770,2308,15904,6907,0,78,66
20172,2503,3127,4649,2832,3545,4384,12226,0,78,54
1211,17711,10078,8271,1794,3389,26506,35674,0,67,48
2175,9565,1880,9455,4281,1756,13863,17769,0,80,69
12683,5189,15959,6374,3490,1893,51681,35845,0,75,75
20422,5663,32718,11194,18639,4611,874577,181781,0,41,54
20986,31067,32386,44207,6676,4930,1736839,264704,0,30,51
1868,3029,6939,3882,5640,3053,9987,10926,0,41,75
23018,19949,14485,7451,8768,5843,2055059,99642,0,48,78
5270,11406,3164,8670,2173,11280,8427,12345,0,70,66
44897,23915,18514,13590,5054,24915,227852,144703,0,48,69
44897,23915,18514,13590,5054,24915,227852,144703,0,48,69
7752,11150,1614,1579,999,686,155872,117737,0,61,26
99418,13171,6764,5471,2940,4708,450596,501612,0,30,1
35647,5883,2898,4480,1236,1216,396930,47353,0,47,11
60379,22318,28440,13264,4313,7852,1153458,746425,0,50,27
19526,2412,2887,913,672,1701,1289481,44478,0,48,14
19526,2412,2887,913,672,1701,1289481,44478,0,48,14
48740,8542,1233,3544,1009,1965,140132,58707,0,64,20
79477,35056,10551,4833,1345,7116,2078725,338232,0,64,14
6477,1704,2683,1213,199,450,142859,44543,0,48,13
5710,3806,493,423,276,254,219404,3387,0,74,13
12916,2786,2996,3198,878,716,1051122,253144,0,47,21
733,16391,2342,1989,1082,805,719590,66692,0,35,14
31503,140943,124782,48672,29630,76278,116326,289597,0,56,17
1548,2896,867,958,650,531,141661,10111,0,60,61
2310,3444,4651,9339,2193,3118,29414,26523,0,38,66
2326,8072,6449,5160,1988,3736,16737,17977,0,50,67
2326,8072,6449,5160,1988,3736,16737,17977,0,50,67
16602,2124,3965,2103,1245,6306,708297,112293,0,37,30
3076,9259,5637,2033,1414,1920,160928,21362,0,48,30
7453,5774,3623,1055,1040,1627,175809,87970,0,53,40
43071,27669,5588,5321,1982,3956,879734,501877,0,29,14
147129,73700,51819,14885,22674,77472,945642,465075,0,43,13
5968,3652,7773,5097,2435,1123,10074,11050,0,54,51
8033,4585,16541,4985,1955,1845,8544,11531,0,66,81
4596,4978,4658,4432,1839,1022,1611,5337,0,77,88
7481,2017,3329,5143,2046,1047,7138,3335,0,75,97
47807,2770,8270,4755,6105,1798,46010,143306,0,64,61
10847,16101,11168,6373,3748,2225,422736,83440,0,74,60
3381,2834,7618,6735,2329,1298,25882,10087,0,69,77
4601,31463,9036,5952,1551,2178,23210,57837,0,57,78
10258,25145,21721,9994,8515,2537,126894,76228,0,61,50
12545,4503,10503,6915,2717,1631,22444,76385,0,64,37
5884,3317,1315,2587,1266,1706,116882,31327,0,56,48
13552,12169,6279,3932,1679,1702,16731,35289,0,64,60
14508,1862,3012,4334,1868,1616,134401,32334,0,67,56
20671,6888,6218,3314,2129,11871,914101,106221,0,50,38
20671,6888,6218,3314,2129,11871,914101,106221,0,50,38
7995,4633,7274,4282,883,950,235971,53334,0,53,34
69998,20618,5917,5752,13958,24563,1728990,744757,0,14,11
2665,486,1306,541,241,1331,71228,11330,0,11,3
2665,486,1306,541,241,1331,71228,11330,0,11,3
5307,3174,1404,930,925,2256,530032,42664,0,37,26
7449,2433,2078,779,832,1180,1290619,23513,0,50,21
110561,27086,25202,14566,13656,26217,1423365,453568,0,50,14
56330,8051,3436,2882,1726,4890,399248,394866,0,30,13
56330,8051,3436,2882,1726,4890,399248,394866,0,30,13
6121,8704,3028,2108,836,1003,1099644,79067,0,27,7
3316,3356,644,478,294,467,142635,12562,0,60,24
23026,1316,1252,1268,345,1327,919729,56102,0,43,14
66070,11529,8472,2501,1178,5695,903262,110463,0,43,1
41782,34180,35740,19664,11782,25962,2205843,487339,0,64,16
4033,11819,5520,9749,5170,4716,4936,3471,0,61,61
17096,5065,15411,2477,5473,2037,154787,39483,0,48,60
17170,15982,14030,6690,6986,7558,12882,9159,0,69,57
6263,4813,2620,2168,1528,1080,6356,4854,0,100,84
2304,4606,6174,2650,2105,774,14358,7117,0,83,83
2304,4606,6174,2650,2105,774,14358,7117,0,83,83
17214,7026,5773,4272,7680,2112,48868,23228,0,87,81
2484,2434,1657,1431,643,1061,265222,6830,0,91,66
3213,3659,7373,2543,1564,1215,65272,14406,0,67,83
6759,1091,3672,4346,1797,955,11222,19231,0,56,93
1373,1610,9647,2593,3104,2070,1914,4810,0,56,94
15718,10498,5101,5811,3688,1523,130690,115694,0,51,78
5626,2231,8307,5842,3532,4371,435951,29910,0,67,63
582,1579,779,671,346,2427,993637,7356,27,80,66
29940,3126,2435,3132,1646,3925,1704915,150052,0,53,44
29940,3126,2435,3132,1646,3925,1704915,150052,0,53,44
35550,45690,95681,34523,33474,88345,1369778,167452,0,35,26
82545,60738,27643,19910,14077,44709,1507680,733082,0,47,34
18617,25345,3458,4360,2013,15306,1517830,470310,0,43,26
11585,4786,2898,1191,1288,1870,637770,16935,0,60,26
17712,2061,653,397,151,517,426769,61223,0,67,21
48535,10907,3147,4325,971,5876,774166,486709,0,24,1
10635,26467,5730,2417,1452,2016,1489464,389774,0,30,1
10635,26467,5730,2417,1452,2016,1489464,389774,0,30,1
3188,7967,1731,1205,384,1012,116214,99269,0,21,1
5641,3586,883,1640,523,372,230771,73674,0,10,3
25986,10191,8985,2138,1497,5210,157238,179448,0,34,1
90592,2180,2984,2980,1717,1183,74980,345402,0,24,1
5084,4265,2731,1699,789,978,124841,99099,0,20,4
5355,2388,566,742,259,595,28831,84985,0,24,13
17774,6380,1235,2930,549,1364,225588,41011,0,43,21
10476,3189,255,638,315,1033,460570,43876,0,54,26
89632,8701,3337,5931,2809,3056,319199,252449,0,51,11
34923,11856,17896,7737,1503,4398,1871797,266915,0,30,7
52733,7205,4501,7250,1141,2466,1877723,258536,0,21,14
19630,4392,1143,1166,357,561,714902,125823,0,29,8
48374,27041,6226,4635,2115,3279,1356836,328192,0,51,11
11284,10224,3813,3871,2702,3053,2312520,115530,0,64,29
10657,11479,5458,2368,1494,5495,106152,15771,0,51,35
814,5599,11037,7474,3481,1795,116851,97192,0,34,63
2513,15414,11000,7611,10478,9483,130749,37023,0,30,63
11765,9742,2980,8951,2708,5198,42127,46856,0,63,87
19923,16812,12050,4561,2673,2066,13571,22259,0,74,80
19923,16812,12050,4561,2673,2066,13571,22259,0,74,80
12073,1790,1479,1233,646,515,155563,29370,0,56,54
12073,1790,1479,1233,646,515,155563,29370,0,56,54
8737,13603,8553,5867,2520,5165,602433,102274,0,37,35
619,142,528,71,140,732,148340,2498,0,38,35
619,142,528,71,140,732,148340,2498,0,38,35
46285,27083,6476,5969,2465,14458,2816934,265684,0,44,26
8084,1638,930,595,315,416,178144,53699,0,37,21
7192,8634,4220,2918,616,1792,218634,277766,0,30,17
12036,8434,3743,6735,1964,3585,426419,201216,0,24,14
12036,8434,3743,6735,1964,3585,426419,201216,0,24,14
11411,19600,8057,5016,4697,2890,1445712,156797,0,29,21
7001,12530,7149,3928,863,3359,882687,457020,0,8,7
10512,25636,5447,3196,1620,2402,2699684,171873,0,24,8
76205,17573,19422,6805,1179,2339,1056250,341840,0,37,16
15478,19373,7137,2499,1234,3633,562720,333364,0,17,1
44973,2671,4165,10530,702,2395,566264,347838,0,16,3
80374,14154,9810,2174,3338,2328,291640,164494,0,40,7
28203,11950,2936,7060,1356,2463,1215986,260785,0,38,8
11958,10823,33056,3483,5993,13704,996145,1613545,0,1,1
11958,10823,33056,3483,5993,13704,996145,1613545,0,1,1
28756,13097,4004,6681,1620,4963,825380,208225,0,50,35
91872,1528,7253,3691,1235,2433,321916,219732,0,63,30
34614,11379,10531,7183,848,1960,1422387,181611,0,64,30
12102,4608,1621,709,515,483,1104419,45031,0,61,30
7723,8007,1913,1511,818,1723,1372710,40743,0,63,30
7348,2704,868,790,159,648,18342,72376,0,54,34
1099,550,315,332,102,248,192027,14735,0,44,21
1099,550,315,332,102,248,192027,14735,0,44,21
136569,226358,182396,23105,55096,123401,961296,248472,0,63,29
136569,226358,182396,23105,55096,123401,961296,248472,0,63,29
53403,14880,4944,3362,1945,2336,2428744,266225,0,48,30
41360,11154,10519,4826,1073,3798,1264187,167981,0,67,27
7592,1338,1953,665,521,862,311131,201245,0,48,21
14044,1260,1834,536,241,667,282695,25781,0,40,3
91375,9366,4391,3323,1032,6512,949513,445970,0,47,1
9149,1533,1175,1268,296,834,1025433,22309,0,61,27
117541,36358,5412,8409,2535,4364,1312447,488674,0,70,30
42640,9322,8966,2419,1187,1996,418080,761946,0,51,4
42640,9322,8966,2419,1187,1996,418080,761946,0,51,4
11478,10448,4641,2892,728,728,1230867,13828,0,63,35
2069,4603,6190,823,496,990,970078,67522,0,69,53
60130,18351,5028,5430,955,3256,842748,174564,0,64,24
491,370,505,150,130,147,256154,4246,0,54,29
106407,8749,11864,10841,13571,15866,2622589,979141,0,48,27
74244,22068,5649,6814,3465,3039,420430,312852,0,44,21
15602,15623,10910,2249,1040,2485,2027391,177124,0,50,17
38130,3412,4016,5093,1196,2785,3548215,283467,0,63,34
2871,735,568,216,101,117,89946,13640,0,60,27
1064,2888,700,988,486,645,411826,27956,0,64,35
16676,6006,1847,2312,544,595,243956,42286,0,54,30
10917,5667,4081,7238,6170,1097,668098,50573,0,57,64
8757,13430,22759,20921,14564,6958,88506,36822,0,69,100
21608,3825,30277,9096,14764,2447,77608,16508,0,81,100
13501,14062,5774,3763,2166,2698,192961,20538,0,75,88
4219,2080,4113,7438,2322,4763,49831,22611,0,74,80
6414,3580,6453,6750,5625,592,3281,17836,0,77,88
6414,3580,6453,6750,5625,592,3281,17836,0,77,88
103712,104378,17359,27829,9818,102048,1426532,725052,0,77,77
8178,6946,3766,2000,2162,1878,1300747,86952,0,77,38
49461,23651,4590,6549,1353,2766,917599,207845,0,51,24
131049,24303,5831,7379,14448,8856,2324680,668448,0,47,23
25678,8657,6380,2802,558,1996,1587615,224994,0,43,7
60295,41024,11786,6795,5905,10484,3303730,473677,0,50,14
6780,11655,1278,1430,682,970,806374,67246,0,48,21
4174,612,1093,747,784,727,248056,71178,0,37,14
49054,8576,4620,7242,1312,4028,842786,102514,0,60,34
6187,1090,1770,1284,146,821,403774,64268,0,74,44
45077,10216,3145,2763,763,2788,296831,219229,0,60,37
350564,5383,15202,12026,5214,22345,1441420,699168,0,50,20
52073,31628,12137,8083,3335,6644,1718087,1471126,0,26,16
52073,31628,12137,8083,3335,6644,1718087,1471126,0,26,16
14232,6704,4091,2599,1082,2573,583091,139244,0,43,11
48602,25864,7475,3623,1126,3118,1610719,227428,0,43,20
31759,2738,1550,4486,692,1742,767087,424504,0,27,10
39991,5569,1535,1314,431,1237,365721,16011,0,75,30
62993,7544,3444,2032,455,4274,749459,142047,0,100,30
64147,15462,26869,15826,12502,43010,580619,287448,0,94,34
22449,5472,3838,3443,2182,1357,1377342,72087,0,67,48
24157,2999,3840,3408,3543,1316,883225,170132,0,57,34
24157,2999,3840,3408,3543,1316,883225,170132,0,57,34
5572,18106,7472,5335,5370,3762,384736,60920,0,37,40
11696,11701,12644,9792,4336,896,102313,66338,0,64,78
18778,5705,4524,5785,1855,2337,154638,10944,0,77,87
2195,3929,2293,1349,1858,1493,45661,10359,0,75,87
61426,97448,41526,25881,4383,4512,215869,215972,0,78,83
11971,2833,5315,7945,6784,5086,16752,19810,0,80,84
5866,8640,5985,10713,4892,3952,54242,48027,0,67,87
9325,6490,7568,5467,4750,1685,22729,18943,0,83,96
8093,10504,8944,7898,3135,2773,19892,5996,0,90,100
7362,5781,24137,5546,3480,2740,13702,13921,0,67,100
3465,4366,7477,12779,3294,2779,9226,31032,0,47,100
11868,18241,13803,8172,3604,2439,27497,76424,0,57,93
7110,7931,5768,2551,5010,1611,17327,14844,0,80,87
7015,14485,9231,5336,7703,846,827242,112577,0,87,84
2489,7108,4160,9866,5707,5359,19200,19223,0,74,100
29190,8237,4793,8303,2780,1531,10652,45871,0,84,96
3005,12764,5575,5682,6308,1625,14992,12768,0,100,80
791,4323,8240,6167,3835,1332,6680,14034,0,78,97
6157,11947,11543,5531,5167,1729,7631,8529,0,84,100
6157,11947,11543,5531,5167,1729,7631,8529,0,84,100
6157,11947,11543,5531,5167,1729,7631,8529,0,84,100
15126,12399,12372,8248,6188,2876,26550,32956,0,83,88
8134,5345,12053,8313,3958,2531,45818,23289,0,81,100
4257,5351,5955,5638,2571,1782,22621,20101,0,66,100
10947,5012,6809,4955,6977,1692,30586,17435,0,74,100
4525,3540,3395,1758,623,2433,619609,23530,0,69,81
1444,6135,246,216,479,551,135827,36677,0,50,30
1347,4013,21166,12391,4977,2159,7920,36984,0,27,40
4358,12657,20447,8068,3269,1050,407061,16383,0,37,90
2876,13909,8882,10581,1609,621,35462,2845,0,88,100
2876,13909,8882,10581,1609,621,35462,2845,0,88,100
2455,4104,11223,9876,5299,1694,8783,22669,0,70,100
6362,15407,3826,10768,6104,2782,258847,56703,0,77,100
11106,12178,8767,7026,5943,1150,44838,46937,0,83,96
8684,8788,7250,15110,2777,2350,7879,11652,0,77,96
7660,10508,6596,7479,5806,603,4060,9588,0,78,96
39929,34271,29772,18641,19164,39878,291962,130844,0,80,88
7268,1721,3829,5931,2314,2997,773062,174929,0,53,69
4707,51375,41563,40544,33673,49460,671873,268783,0,30,43
4707,51375,41563,40544,33673,49460,671873,268783,0,30,43
6084,3020,4254,11097,20264,5091,324101,66750,0,51,84
28015,3278,16171,9543,2898,3817,26203,51996,0,66,87
12778,28227,18614,14823,4881,2212,76317,177686,0,67,74
6527,29027,27671,12789,4177,2048,577429,80542,0,74,66
18314,13562,3921,5687,2756,1110,13568,3999,0,100,93
3049,8203,5404,5466,2944,2440,151462,100220,0,80,97
22401,6663,9577,9470,3389,1373,20049,20203,0,63,80
12505,8944,24199,6232,7600,2041,678593,35932,0,61,83
26583,31176,27122,7500,4129,7146,1736752,97516,0,64,81
26583,31176,27122,7500,4129,7146,1736752,97516,0,64,81
11533,8235,4520,1348,2129,1543,102294,111001,0,43,93
1561,918,2701,1319,1680,3004,426334,21906,0,37,66
3420,8642,6856,3240,1004,4765,1072999,125806,0,35,57
31367,2789,4940,1469,788,2271,1338690,144936,0,47,21
31367,2789,4940,1469,788,2271,1338690,144936,0,47,21
49400,15909,10065,11072,2355,25258,222425,598304,0,40,10
15411,5097,1545,934,378,1357,215252,25095,0,67,11
27390,4711,8180,2817,1728,3161,1684248,118834,0,77,13
16367,12263,5836,4477,793,5229,731644,191598,0,63,24
16367,12263,5836,4477,793,5229,731644,191598,0,63,24
3838,328,611,296,171,406,58980,12254,0,64,23
19378,8987,6924,2543,927,1244,518693,25772,0,60,17
103677,53384,19864,29950,10643,27870,1720764,1364538,0,64,34
36375,1475,1971,2940,593,4831,1331532,309514,0,50,21
24821,3544,5264,3374,2515,4433,261385,170944,0,41,20
33222,11943,13266,41594,17573,3741,27666,6754,0,61,48
14831,3741,13546,6883,4747,1135,60449,47646,0,67,64
2360,10517,12306,6979,6368,3756,18334,30204,0,56,77
2360,10517,12306,6979,6368,3756,18334,30204,0,56,77
11005,14813,8961,5074,4415,1385,13888,12682,0,75,67
5188,11042,15819,11674,4394,1324,789460,28149,0,56,77
17021,6102,10521,8576,4300,1918,22105,41876,0,43,81
4936,18557,4640,9562,1980,2360,31766,21861,0,60,81
16420,5030,3619,3320,1586,2332,502775,118006,0,69,80
69058,13129,9523,6681,4588,5476,466477,1025702,0,44,44
3803,16395,15953,7179,2398,7293,13514,25315,0,37,40
6812,984,231,866,207,795,433244,7700,0,74,51
24340,2407,4062,1674,950,5089,87231,339249,0,60,26
49195,2581,3513,3533,1243,6444,783825,164015,0,41,1
4013,1849,422,192,321,1281,140908,28431,0,44,1
44280,9387,9193,5997,11451,15679,677634,886035,0,34,1
121624,25784,10915,28157,8181,21142,1417755,1775805,0,34,1
3170,4626,7420,3238,725,5086,871883,231498,0,23,10
33779,19941,30673,13343,21736,24145,467805,141657,0,38,29
7560,1939,2818,8977,1417,1760,11528,14708,0,63,74
11493,7396,3139,2758,6894,1412,5832,15511,0,83,91
1035,4337,4584,7449,3657,1384,3007,5971,0,83,96
103563,26615,11181,10331,4900,2076,586880,333803,0,70,84
2644,7424,2657,7608,2256,2884,60611,17498,0,75,74
23694,10557,4813,14827,3301,4816,570411,63633,0,66,74
5529,5504,1229,823,1962,290,89178,32074,0,64,53
